entsoe name,exiobase code,predicate,weight
Fossil Hard coal,A_POWC,OWL.sameAs,1
Fossil Brown coal/Lignite,A_POWC,OWL.sameAs,1
Fossil Peat,A_POWC,OWL.sameAs,1
Fossil Gas,A_POWG,OWL.sameAs,1
Fossil Coal-derived gas,A_POWG,OWL.sameAs,1
Nuclear,A_POWN,OWL.sameAs,1
Hydro Pumped Storage,A_POWH,OWL.sameAs,1
Hydro Run-of-river and poundage,A_POWH,OWL.sameAs,1
Hydro Water Reservoir,A_POWH,OWL.sameAs,1
Wind Offshore,A_POWW,OWL.sameAs,1
Wind Onshore,A_POWW,OWL.sameAs,1
Fossil Oil,A_POWP,OWL.sameAs,1
Fossil Oil shale,A_POWP,OWL.sameAs,1
Biomass,A_POWB,OWL.sameAs,1
Waste,A_POWB,OWL.sameAs,1
Solar,A_POWE,OWL.sameAs,1
Other renewable,A_POWO,OWL.sameAs,1
Geothermal,A_POWM,OWL.sameAs,1
Other,A_POWZ,OWL.sameAs,1
Marine,A_POWZ,OWL.sameAs,1
